Tweet,Keyword,code-switched,Hate,
"Ladies Night 
 Happening tomorrow @celandballersempire
 Door open by 7pm 
 Don't miss it.....
 #ladiesnight #edostate #Edo2024 #Benin #club #party #PartyDash https://t.co/Hyfw7iz3BE",#Edo2024,0,Neutral,
"They are crying that I don't talk.
 My silence is a weapon.
 I am a community builder.
 I learnt politics from the best there was.
 
 ... Akpakominza
 
 #Edo2024 
 #ANewEdoIsRising
 
  https://t.co/XSKFRjbx2g",#Edo2024,0,Neutral,
"After 25yrs of PDP and APC for Edo state, my people how market? #benincity #edo2024 #edostate #politics https://t.co/QgArmLlXTI",#Edo2024,1,Offensive,
The people can trust Labour Party. Ondo and Abia are good examples of what Labour Party can do for the people. #benincity #edo2024 #edostate #politics #abiastate #ondostate https://t.co/IXF7ZhQpNz,#Edo2024,0,Neutral,
"#Edo2024 I'll keep the grudges even after the elections 
 
 Make nobody near me with fake love",#Edo2024,0,Hate,
"This one na tsunami 
 
 Asue connect like WiFi 
 
 #Edo2024 na Asue Ighodalo https://t.co/SMyY7yg4rZ",#Edo2024,1,Offensive,
MESSAGE FROM GOVERNOR GODWIN OBASEKI TO EDOLITE 😂 @p_oruche @PeterObiUSA @NgLabour @PeterObi @OlumideAkpata @ehimaggie @JOBIdient @Atentemente @asaskads @AdenikeAwe1 #LaborDay #PeterObi #TheGOAT #EndBadGovernaceProtest #EdoDecides2024 #Edo2024 #government https://t.co/AgNWs3IFz2,#Edo2024,0,Neutral,
#NigerianPidgin101 #Nigerian #Edo2024 https://t.co/FsnOGbsHG2,#Edo2024,0,Neutral,
Na Asue Ighodalo pull this one for Edo so o 🙌🏽🙌🏽🙌🏽🙌🏽 #Edo2024 sure https://t.co/3DuRLvD4JU,#Edo2024,1,Offensive,
"#Edo2024 
 
 As we countdown to the September 21, 2024 Governorship Election in Edo state, let it be known across board that our dear state is in safe hands.
 
 The @OfficialPDPNig duo of Asue Ighodalo and Osarodion Ogie will lead our state to more progress &amp; prosperity #AsueOgie2024 https://t.co/tSZLUjCCxf",#Edo2024,0,Neutral,
"What APC cannot do does not exist, they do arrange wife for their candidate #Edo2024😂😂😂",#Edo2024,0,Offensive,
"#Edo2024🔥
 
 This is what the PDP candidate, Dr. Asue Ighodalo tells mammoth crowd of supporters in Igarra, Akoko-Edo LGA today;
 
 “We will bring more experts to handle the mining activities and other mineral resources in Akoko Edo, and attract more investors for more development” https://t.co/C0bmAz7Jb7",#Edo2024,0,Neutral,
"#Edo2024: Watch this video and see how the people of Oluku community in Ovia North East LGA, joyously celebrated the arrival of Akpakomiza to the campaign venue in the community.
 
 Clearly, the real Edo voters are set to elect one of their own who empathizes and sympathizes with… https://t.co/yHaHaQKZgW https://t.co/RulI02VBd0",#Edo2024,0,Neutral,
"#Edo2024 (Video):Akpakomiza coasting to victory!
 
  From Odighi to Ekiadolor to Oluku in Ovia North East LGA, the people rolls out their drums to celebrate the arrival of the next Govenor of Edo State, Senator Monday Okpebholo popularly known as Akpakomiza.
 
 The campaign venues in… https://t.co/bDgVCElWNr https://t.co/9XQnwpQXcH",#Edo2024,0,Neutral,
"When women talk to women, women understand 
 
 Today we made a powerful statement, we stood with one voice, spoke with one voice and we all understood 
 
 We have resolved that Edo state has to move forward and that we must do it together.
 
 #AiO²
 #AsueOgie2024
 #Edo2024
 #VotePDP https://t.co/P2Bo5dK7uT",#Edo2024,0,Neutral,
Asue Ighodalo and Osarodion Ogie celebrate their triumphant arrival. #PathWayToProsperity #Edo2024 https://t.co/5pNJPPujzy,#Edo2024,0,Neutral,
Asue Ighodalo and Osarodion Ogie make a victorious entry into the town. #PathWayToProsperity #Edo2024 https://t.co/AeCkATOqFo,#Edo2024,0,Neutral,
"In this #Edo2024 Guber election, Asue Ighodalo is the most competent, capable, and ready to lead.
 
 Asue Ighodalo is committed to lead a Government that will guarantee prosperity and development for all Edo.
 
 Support and vote Asue Ighodalo.
 
 #Edo2024
 #AsueIghodalo2024 https://t.co/FJfF4KZZi8",#Edo2024,0,Neutral,
"Edo women support Asue Ighodalo in grand style.
 
 Our mothers, and sisters, will vote for Asue Ighodalo on the 21st of September.
 
 The women have spoken in favour of Asue Ighodalo, loudly!
 
 #Edo2024
 #AsueIghodalo2024 https://t.co/A8lRMWX7or",#Edo2024,0,Neutral,
"Opposition go think say na photoshop.
 
 The good people of Edo and keyed into the Asue Ighodalo vision.
 
 September 21, Edo will vote for Asue Ighodalo in record numbers.
 
 #Edo2024
 #AsueIghodalo2024 https://t.co/LfiEyWEGWB",#Edo2024,1,Neutral,
"Akoko Edo stood still for Asue Ighodalo.
 
 The kind of love and support from the good people of Akoko Edo for Asue Ighodalo is unprecedented.
 
 Come 21st September, Akoko Edo will vote massively for Asue Ighodalo.
 
 #Edo2024
 #AsueIghodalo2024 https://t.co/7vNdhGtaC2",#Edo2024,0,Neutral,
"Our Government shall enhance access to economic opportunities and shall consciously make the basic needs of life, including health, education, electricity, water and housing radily affordable for our peope in Edo.
 
 — Asue Ighodalo
 
 #AsueIghodalo2024 
 #Edo2024 https://t.co/2jAYEhGtmN",#Edo2024,0,Neutral,
"This is @Aighodalo wife strolling with Edo women earlier today and she is here without her husband's presence. 
 
 I know a candidate in the #Edo2024 that cannot walk on the street of Benin without the help of a former governor.
 
 Edo has decided and it is Asue and PDP https://t.co/HdDzFh7UdO",#Edo2024,0,Neutral,
"""We will bring more experts to handle the mining activities and other minrral resources in Akoko Edo, and attract more investors for more development""
 
 - Asue Ighodalo @Aighodalo declares at Igarra, Akoko Edo LGA
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi 
 #AsueIghodalo2024 https://t.co/iNiggre8OW",#Edo2024,0,Neutral,
"When women talk to women, women understand
 
 We have resolved that Edo state has to move forward and that we must do it together
 
 Vote PDP✅
 
 #AiO²
 #AsueOgie2024
 #Edo2024
 #EdoState
 #VotePDP https://t.co/7dU0dFLtnn",#Edo2024,0,Neutral,
"1/1
 The warm welcome we received in New York was both humbling and uplifting. We sincerely appreciate the kindness and encouragement extended to us.
 
 #edopeoplemustomatter
 #edobeforepolitics
 #edo2024
 #mypactwithedopeople
 #edondo
 #olumideakpataspeaks https://t.co/RgvZIQUbfd",#Edo2024,0,Neutral,
"He emphasized the importance of attracting more investors to drive development and improve the livelihoods of the community, promising that his leadership would foster a prosperous future for all.
 
 #AsueOgie2024 #PathWayToProsperity #Edo2024",#Edo2024,0,Neutral,
Deputy Governor Omobayo halts activities in Igarra as Asue Ighodalo and Osarodion Ogie make a grand entrance into town. #PathWayToProsperity #Edo2024 https://t.co/434YT6QDxW,#Edo2024,0,Neutral,
"#Edo2024 @OfficialPDPNig youth alliance for good governance condemned the intimidation of members of our great party also urge Tinubu to hesitate the harassment of PDP members, in addition PDP youth urge INEC to conduct free and fair election. VOTE Dr Asue Ighodalo #EGoDoAm https://t.co/C72ZiFpedt",#Edo2024,0,Neutral,
"#CivicShiftCampaign
 #YouthVoteMatters
 #OndoDecides2024
 #HTCIF https://t.co/NfsJj6aS1U",#OndoDecides2024,0,Neutral,
"Donald Trump admits he sometimes regrets what he posts on social media.
 #Guns #Ballon #Messi #Tinubu #Switzerland #Trump https://t.co/WMfYjJFnnH",#Tinubu,0,Neutral,
"#Tinubu
 #PeterObi
 #Atiku
 #Dangote https://t.co/7dPLAiTtRh",#Tinubu,0,Neutral,
The shutdown of Igarra by Deputy Governor Omobayo sets the stage for the triumphant entry of Asue Ighodalo and Osarodion Ogie. #PathWayToProsperity #Edo2024 https://t.co/gdZkO2cJQm,#Edo2024,0,Neutral,
"Asue Ighodalo and Osarodion Ogie make a significant entrance into Igarra, which is shut down by Deputy Governor Omobayo. #PathWayToProsperity #Edo2024 https://t.co/rcvxT85zxS",#Edo2024,0,Neutral,
"#Edo2024
 
 The people of Igarra in Edo State have made a huge statement today with their massive turn out to receive the gubernatorial candidate of @OfficialPDPNig Dr. Asue Ighodalo &amp; his running mate, Barr. Osarodion Ogie.
 
 When our people speak with one voice, be sure of victory https://t.co/4fqUPsfR1G",#Edo2024,0,Neutral,
Igarra is closed by Deputy Governor Omobayo in preparation for the victorious entrance of Asue Ighodalo and Osarodion Ogie. #PathWayToProsperity #Edo2024 https://t.co/VtZanFXnjV,#Edo2024,0,Neutral,
"Only for Asue Ighodalo. #Edo2024 👍
  https://t.co/GbLCnTicOg",#Edo2024,0,Neutral,
"https://t.co/kGOjWUQxhw
 #everyone #Highlights @everyone @followers #Nigeria #Edo2024 #politics #news #EdoAPC",#Edo2024,0,Neutral,
